point_id,platform,simulator,case,frames,payload_bytes,shared_service,response_latency_cycles,service_percent,mem_phase_ns,clock_mhz,hw_cycles,steady_cycles,rx_axis_valid,rx_axis_ready,rx_axis_fire,tx_axis_valid,tx_axis_ready,tx_axis_fire,main_read_bytes,rx_payload_write_bytes,cq_bus_write_bytes,main_ar_bursts,main_aw_bursts,rx_aw_bursts,rx_peak_outstanding,tx_peak_outstanding,rx_input_stall,cdc_payload_stall,aw_stall,w_stall,b_stall,ar_stall,r_stall,rx_cqe,tx_cqe,frame_fail,frame_drop,deadlock,protocol_error,status,pass_marker
win_rx4_shared,windows,ModelSim SE-64 2020.4,rx_peak,4,16384,1,16,100,3,100,2536,2450,1643,1201,260,0,2584,0,0,16384,256,0,8,128,4,0,1383,1776,0,0,0,0,0,4,0,0,0,0,1,BLOCKED_PROTOCOL_CONTRACT,false
win_loop1_shared,windows,ModelSim SE-64 2020.4,loopback_peak,1,4096,1,16,100,3,100,1195,1039,65,1260,65,65,1260,65,4160,4096,128,33,4,32,4,4,0,444,0,0,0,0,0,1,1,0,0,0,1,BLOCKED_PROTOCOL_CONTRACT,false
