artifact_id,variant,logical_name,sha256,size_bytes
s0__mapped_gls_saturated_summary,S0,mapped_gls_saturated_summary,3534a7c89f012c724f520ab8297c6a8b76c5da9509b6db6ca4037b8e75dbc4a8,342
s0__mapped_gls_saturated_trace,S0,mapped_gls_saturated_trace,e838dfc4cbeb07f6ed22d42e4103d8b1dac512e63d76c3ac898c18244732a8ac,135055
s0__mapped_gls_saturated_transcript,S0,mapped_gls_saturated_transcript,8326b5ee6bf9f8c44f978d1df4240f5d8c37a57c32b4b76dd5334d0e5a8813eb,51290673
s0__mapped_gls_saturated_vcd,S0,mapped_gls_saturated_vcd,eb89c19ed674d679e0e080c4fec6b7e33ed3a43afed31e677c3a447a372d908a,158342083
s0__mapped_gls_summary,S0,mapped_gls_summary,5e363eb61a3949e7995727a09972fe2dba10907e88c2b1b0afcbfc5ac75cbc0d,9707
s0__mapped_gls_transform_receipt,S0,mapped_gls_transform_receipt,466bca0a4245f7dbd977c84c4946633fe2be8a83e788cb3306437dafae4fcd59,2453
s0__mapped_netlist,S0,mapped_netlist,bc787061783935d983d0646c6c41f1c99329ebe51550a3c85d04c37598355126,47350393
s0__mapped_sdc,S0,mapped_sdc,53dedeb93b593724f91bc3f05c45a8125203fdfe5569e5f3a31b18d0074c254b,375448
s0__power_bursty_report,S0,power_bursty_report,9a2f5b2c9d66a0e03644573d469f9e2458901a12c2d892aef7405b745a6b15ac,2810
s0__power_groups_bursty_report,S0,power_groups_bursty_report,81de268065610378d0d757733132bcf682977600dcbb32e5bd191ec8deed55fe,2132
s0__power_groups_idle_report,S0,power_groups_idle_report,912992146dc6d72f55485eeb54c37c2a92338bdfc8d067a67b69d0113401be1b,2133
s0__power_groups_saturated_report,S0,power_groups_saturated_report,c85c516249a3013983376e881ed49a7120ae1aacc5a0f2b69ed90ef71f16855b,2132
s0__power_idle_report,S0,power_idle_report,af88946858a3d92816a5ab646557569731eedbadc8fc253d70c2c3746276c517,2810
s0__power_saturated_report,S0,power_saturated_report,5055a8e2329e03ac3a682b2d48de758de1306f64725d7b0f379d2b0a7c060c7a,2810
s0__setup_report,S0,setup_report,63cf04188d4d90610985efe8a380479c524e4e5c99d39d210788be246ddf40d2,74653
s0__test_port_case_bursty_report,S0,test_port_case_bursty_report,8e8d238727319105a80dcfdf7412ec7c50324518a6e242178836c9d0b7379e4a,605
s0__test_port_case_compile_report,S0,test_port_case_compile_report,8fa13e5882cbe53d1319cb7bc546c3eb3af0a2efc3036705f5b4650a4081441d,605
s0__test_port_case_idle_report,S0,test_port_case_idle_report,615e87e79c4a5bcdc9f48a2405752e0ad992f1baa95745260aafa712b1a76aff,605
s0__test_port_case_saturated_report,S0,test_port_case_saturated_report,7a89c36ba477e7b1d70c618aa4d3701b45ef14626a0c3d470b1ab9228ecfc7a4,605
s1__activity_bursty_report,S1,activity_bursty_report,d0629f13246c8ce8a4bd9e01df725e7ee6d024f699f76192da95d0dee1fd4a1b,829
s1__activity_coverage_summary,S1,activity_coverage_summary,ccdd68b6bca90e489e12e97f8b2e0b33b17c9edaa557a885f78fbaa0ac8e2bfb,3541
s1__activity_defaults_bursty_report,S1,activity_defaults_bursty_report,1fe5e711203bd13859baf6d427ea6495e1b7fa6ff81a153436008ea5d27d79a2,67
s1__activity_defaults_idle_report,S1,activity_defaults_idle_report,1fe5e711203bd13859baf6d427ea6495e1b7fa6ff81a153436008ea5d27d79a2,67
s1__activity_defaults_saturated_report,S1,activity_defaults_saturated_report,1fe5e711203bd13859baf6d427ea6495e1b7fa6ff81a153436008ea5d27d79a2,67
s1__activity_idle_report,S1,activity_idle_report,e8074d0b26026c5d75619bd88446efddee99ef4710d314f0701e5971c13431e3,829
s1__activity_inputs_bursty_report,S1,activity_inputs_bursty_report,93ebe0642d930014f06b7e5747c7445f17ba0fb1640c8e5cbc77ca448ad99216,814
s1__activity_inputs_idle_report,S1,activity_inputs_idle_report,6e7dfa0412c21464c38aa04fc7c6eb20c8e6296f23feaf5a9fd58a10705a5b0b,814
