comparison_id,comparison_group,scope,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula
c2b4_clock_gating_dc__idle__incremental_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,incremental_energy_per_byte_nj,NA,NA,NA,NA,incremental=(P_workload-P_idle)*1000000/throughput_Bps
c2b4_clock_gating_dc__idle__dynamic_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,idle,c2b4_clock_gating_idle_baseline,c2b4_clock_gating_idle_candidate,dynamic_energy_per_byte_nj,NA,NA,NA,NA,dynamic=P_dynamic*1000000/throughput_Bps
c2b4_clock_gating_dc__bursty__area_total_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,area_total_um2,946749.061998000000,946078.741998000000,-670.320000000000,-0.070802288263,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__area_combinational_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,area_combinational_um2,429844.296002000000,429072.630002000000,-771.666000000000,-0.179522214713,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__area_sequential_um2,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,area_sequential_um2,516904.766000000000,517006.112000000000,101.346000000000,0.019606319513,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__cell_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,cell_count,472128.000000000000,470913.000000000000,-1215.000000000000,-0.257345465636,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__register_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,register_count,113741.000000000000,113753.000000000000,12.000000000000,0.010550285297,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__buffer_count,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,buffer_count,NA,NA,NA,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__wns_ns,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,wns_ns,0.003361820000,0.005806680000,0.002444860000,72.724298148027,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__tns_ns,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,tns_ns,0.000000000000,0.000000000000,0.000000000000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
