verification_id,point_id,platform,simulator,status,pass_marker_count,point_marker_count,semantic_trace_sha256,artifact_id
windows_rx_peak_phase1,rx_peak_phase1,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,windows_rx_peak_phase1
windows_loopback_peak_phase1,loopback_peak_phase1,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,windows_loopback_peak_phase1
windows_rx_peak_phase3,rx_peak_phase3,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,windows_rx_peak_phase3
windows_loopback_peak_phase3,loopback_peak_phase3,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,windows_loopback_peak_phase3
windows_rx_peak_phase7,rx_peak_phase7,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,windows_rx_peak_phase7
windows_loopback_peak_phase7,loopback_peak_phase7,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,windows_loopback_peak_phase7
windows_rx_peak_ideal_split,rx_peak_ideal_split,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,windows_rx_peak_ideal_split
windows_loopback_peak_ideal_split,loopback_peak_ideal_split,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,windows_loopback_peak_ideal_split
windows_rx_size_64,rx_size_64,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,220211ca4e7c7424c128fe43be25a6d7bf1fcabb8c9b2256752a5af4eaee40f3,windows_rx_size_64
windows_loopback_size_64,loopback_size_64,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,f48252824cf07790124fc7f84810be2a314a204b03756197dd8f746f7427cf78,windows_loopback_size_64
